institution,website,address_contact,category,source_file
Federal Ministry of Agriculture and Food,agriculture.gov.ng,"Area 11, Garki, Abuja Security",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
"Federal Ministry of Art, Culture, Tourism and the",fmacce.gov.ng,Abuja Creative Economy,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Aviation and Aerospace,aviation.gov.ng,Abuja Development,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Budget and Economic,nationalplanning.gov.ng,Abuja Planning,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
"Federal Ministry of Communications, Innovation",fmcide.gov.ng,Abuja and Digital Economy,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Defence,defence.gov.ng,"Ship House, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Education,education.gov.ng,"Block 5A (8th Floor), Federal Secretariat, PMB 146 Garki, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Environment,environment.gov.ng,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Capital Territory Administration (FCTA),fct.gov.ng,"Area 11, Garki, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Finance,finance.gov.ng,"Ahmadu Bello Way, Central Business District, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Foreign Affairs,foreignaffairs.gov.ng,"Tafawa Balewa House, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Health and Social Welfare,health.gov.ng,"Federal Secretariat, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Humanitarian Affairs and,fmhds.gov.ng,Abuja Poverty Reduction,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
"Federal Ministry of Industry, Trade and",fmiti.gov.ng,"Block H, Old Federal Secretariat, Garki Area 1, Investment Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Information and National,fmino.gov.ng,"Radio House, Herbert Macaulay Way, Area 10, Orientation Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Interior,interior.gov.ng,"Block F, Old Secretariat, Area 1, Garki, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Justice (Office of the,justice.gov.ng,"10th Floor, Federal Secretariat, Block One, Abuja Attorney-General)",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Labour and Employment,labour.gov.ng,"Block 4A, New Federal Secretariat, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Livestock Development,—,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Marine and Blue Economy,fmmbe.gov.ng,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
"Federal Ministry of Innovation, Science and",scienceandtech.gov.ng,"9th Floor, Federal Secretariat, Abuja Technology",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Niger Delta Development,nigerdelta.gov.ng,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Petroleum Resources,petroleumresources.gov.ng,"Federal Secretariat, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Police Affairs,policeaffairs.gov.ng,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Power,power.gov.ng,"Annex B, Federal Secretariat, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Regional Development,—,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Solid Minerals Development,minesandsteel.gov.ng,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Sports Development,—,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Steel Development,—,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Transportation,transportation.gov.ng,"Bukar Dipcharima House, CBD, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Water Resources and,waterresources.gov.ng,Abuja Sanitation,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Women Affairs,womenaffairs.gov.ng,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Works,works.gov.ng,"Mabushi, Abuja",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Housing and Urban,worksandhousing.gov.ng,"Mabushi, Abuja Development",Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Federal Ministry of Youth Development,—,Abuja,Federal Ministries (A-Z),laws/mda/nigeria-mda-directory.txt
Independent National Electoral Commission,inecnigeria.org,"Plot 436 Zambezi Crescent, Maitama, Abuja (INEC)",Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
National Human Rights Commission (NHRC),nigeriarights.gov.ng,"[V] 19 Aguiyi Ironsi Street, Maitama, PMB 444 Garki, Abuja",Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Public Complaints Commission (PCC) - the,pcc.gov.ng,"[V] 25 Aguiyi Ironsi Street, Maitama, Abuja Nigerian Ombudsman",Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Code of Conduct Bureau (CCB),ccb.gov.ng,Abuja,Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Code of Conduct Tribunal (CCT),cct.gov.ng,Abuja,Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Federal Character Commission (FCC),federalcharacter.gov.ng,Abuja,Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Revenue Mobilisation Allocation & Fiscal,rmafc.gov.ng,Abuja Commission (RMAFC),Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Federal Civil Service Commission (FCSC),fedcivilservice.gov.ng,Abuja,Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
National Population Commission (NPopC),nationalpopulation.gov.ng,Abuja,Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Police Service Commission (PSC),psc.gov.ng,Abuja,Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
National Judicial Council (NJC),njc.gov.ng,"Supreme Court Complex, Three Arms Zone, Abuja",Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
"National Salaries, Incomes and Wages",nsiwc.gov.ng,Abuja Commission (NSIWC),Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Nigerian Law Reform Commission,lawreform.gov.ng,Abuja,Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
National Boundary Commission (NBC),nbc.gov.ng,Abuja,Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Fiscal Responsibility Commission (FRC),frc.gov.ng,Abuja - status has been subject to restructuring; verify,Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
National Assembly Service Commission (NASC),nasc.gov.ng,"National Assembly Complex, Abuja",Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
"Civil Defence, Correctional, Fire and Immigration",cdcfib.org.ng,Abuja Services Board (CDCFIB),Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Nigeria Police Council,—,"The Presidency, Abuja",Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
Council of State,—,"The Presidency, Abuja",Constitutional & Independent Federal Bodies,laws/mda/nigeria-mda-directory.txt
NATIONAL OMBUDSMAN,pcc.org.ng,"Lagos lines: 0813 129 7487, 0818 839 2899. Offices in all 36 states + FCT. Free of charge.","Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Police Public Complaints Committee (PPCC),ppcc.policeaffairs.gov.ng,[V] Receives complaints of human rights abuse by police personnel; forwards findings to the Police Service Commission. Services free.,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
National Human Rights Commission (NHRC),nigeriarights.gov.ng,"[V] 19 Aguiyi Ironsi Street, Maitama, PMB 444 Garki, Abuja. Offices in all six geopolitical zones and most states.","Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Federal Competition and Consumer Protection Commission (FCCPC),fccpc.gov.ng,"[V] 17 Nile Street, Maitama, Abuja. Tel 0805 600 2020 / 0805 600 3030. Primary route for consumer redress against any company.","Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Nigerian Communications Commission -,consumer.ncc.gov.ng,"[V] Plot 423 Aguiyi Ironsi St, Maitama, Abuja Consumer Affairs Bureau 900271. Tel +234-209-4617000. Escalate only after your operator has failed to resolve.","Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Office of the Tax Ombuds,—,Established under the Joint Revenue Board (Establishment) Act 2025 to resolve taxpayer complaints. Contact via nrs.gov.ng.,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Joint Revenue Board of Nigeria,—,"Coordination body for federal, state and local tax authorities (replaced the Joint Tax Board).","Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
CBN Consumer Protection Department,cbn.gov.ng,Banking and financial services complaints,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
NERC Consumer Complaints / DisCo Forum,nerc.gov.ng,Electricity billing and supply complaints Offices,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
NCAA Consumer Protection Directorate,ncaa.gov.ng,Airline and airport complaints,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
NAICOM Complaints Bureau,naicom.gov.ng,Insurance complaints,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
PenCom Complaints,pencom.gov.ng,Pension complaints,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
SEC Complaints Management Framework,sec.gov.ng,Securities and investment complaints,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
National Broadcasting Commission (NBC),nbc.gov.ng,Broadcast content complaints,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Nigeria Data Protection Commission (NDPC),ndpc.gov.ng,"[V] 12 Clement Isong Street, Asokoro, Abuja - data privacy breaches","Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Bureau of Public Procurement (BPP),bpp.gov.ng,Public procurement irregularity complaints,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Legal Aid Council of Nigeria,legalaidcouncil.gov.ng,Free legal representation for indigent persons,"Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Kano State Public Complaints & Anti-Corruption Commission (PCACC),—,"State-level ombudsman + anti-corruption body, Kano","Ombudsman, Complaints & Citizen Redress",laws/mda/nigeria-mda-directory.txt
Economic and Financial Crimes Commission,efcc.gov.ng,"[V] Plot 301/302 Institution & Research Cadastral (EFCC) District, Jabi, Abuja. Hotline +234 809 332 2644 / +234 9 904 4751. info@efcc.gov.ng","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
EFCC - Special Control Unit Against Money Laundering (SCUML),scuml.efcc.gov.ng,[V] Enugu 0705 409 9561 | Gombe 0815 296 6019 | Kano 0810 918 5147 | Ibadan 0809 649 2000 | Kaduna 0809 649 3000 | Lagos 0706 997 1317 | Maiduguri 0809 649 5000,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Independent Corrupt Practices Commission,icpc.gov.ng,"[V] Plot 802 Constitution Avenue, Zone A9, (ICPC) Central Area, PMB 535 Garki, Abuja. info@icpc.gov.ng. MTN 0803 123 0280/0281/0282, GLO 0705 699 0190/0191. Petition: icpc.gov.ng/petition","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
ICPC State Offices,icpc.gov.ng/office-locations,[V] Email pattern @icpc.gov.ng. Adamawa 0803 313 3367 | Anambra 0803 314 5820 | Akwa Ibom 0806 206 7670 | Bauchi 0816 440 2626,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Financial Intelligence Unit (NFIU),nfiu.gov.ng,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigeria Police Force (NPF),npf.gov.ng,"Louis Edet House, Force HQ, Abuja. Emergency 112","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigeria Police Trust Fund,npftf.gov.ng,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Department of State Services (DSS),dss.gov.ng,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
National Intelligence Agency (NIA),—,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Defence Intelligence Agency (DIA),—,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Army,army.mil.ng,"Army Headquarters, Abuja","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Navy,navy.mil.ng,"Naval Headquarters, Abuja","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Air Force,airforce.mil.ng,"NAF Headquarters, Abuja","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Defence Headquarters,defenceinfo.mil.ng,"Ship House, Abuja","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigeria Security and Civil Defence Corps,nscdc.gov.ng,Abuja (NSCDC),"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigeria Immigration Service (NIS),immigration.gov.ng,"Sauka, Airport Road, Abuja","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigeria Customs Service (NCS),customs.gov.ng,"Wuse Zone 3, Abuja","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Correctional Service (NCoS),corrections.gov.ng,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Federal Fire Service,fedfire.gov.ng,"Muhammadu Buhari Way, Area 7, Garki, Abuja","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
National Drug Law Enforcement Agency (NDLEA),ndlea.gov.ng,"[V] 6 Port Harcourt Crescent, Area 11, Garki, Abuja","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
National Agency for the Prohibition of Trafficking,naptip.gov.ng,Abuja in Persons (NAPTIP),"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Security Printing and Minting Company,nspmplc.com,Abuja / Lagos (NSPM),"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
National Counter Terrorism Centre (NCTC),ctc.gov.ng,"ONSA, Abuja","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Presidential Committee on Small Arms and Light,—,Abuja Weapons,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Defence Academy (NDA),nda.edu.ng,Kaduna,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Army University,naub.edu.ng,"Biu, Borno State","Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Air Force Institute of Technology,afit.edu.ng,Kaduna,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Defence Space Administration,—,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Defence Industries Corporation of Nigeria,dicon.gov.ng,Kaduna (DICON),"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Military Pensions Board,—,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigerian Legion,—,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
National Youth Service Corps (NYSC),nysc.gov.ng,Abuja,"Anti-Corruption, Security & Law Enforcement",laws/mda/nigeria-mda-directory.txt
Nigeria Revenue Service (NRS) - formerly FIRS,nrs.gov.ng,[V] Abuja. Enquiries 020 946 02700,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Central Bank of Nigeria (CBN),cbn.gov.ng,"Central Business District, Abuja","Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Corporate Affairs Commission (CAC),cac.gov.ng,"Plot 420 Tigris Crescent, Maitama; PMB 198 Garki, Abuja","Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Securities and Exchange Commission (SEC),sec.gov.ng,"Central Business District, Abuja","Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
National Insurance Commission (NAICOM),naicom.gov.ng,"Plot 1239 Ladoke Akintola Blvd, Garki II, Abuja","Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
National Pension Commission (PenCom),pencom.gov.ng,"Plot 174 Adetokunbo Ademola Cr, Wuse II, Abuja","Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Nigeria Deposit Insurance Corporation (NDIC),ndic.gov.ng,"Plot 447/448 Constitution Avenue, CBD, Abuja","Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Debt Management Office (DMO),dmo.gov.ng,"447/448 Constitution Avenue, CBD, Abuja","Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Asset Management Corporation of Nigeria,amcon.com.ng,Abuja / Lagos (AMCON),"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Financial Reporting Council of Nigeria (FRC),financialreportingcouncil.gov.ng,Lagos / Abuja,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
National Bureau of Statistics (NBS),nigerianstat.gov.ng,"Central Business District, Abuja","Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Federal Mortgage Bank of Nigeria (FMBN),fmbn.gov.ng,Abuja,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Bank of Industry (BOI),boi.ng,Abuja / Lagos,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Bank of Agriculture (BOA),boanig.com,Kaduna,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Development Bank of Nigeria (DBN),devbankng.com,Abuja,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Nigerian Export-Import Bank (NEXIM),neximbank.com.ng,Abuja,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
National Economic Reconstruction Fund,—,Abuja (NERFUND),"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Nigeria Mortgage Refinance Company,nmrc.com.ng,Abuja,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Nigeria Incentive-Based Risk Sharing System for,nirsal.com,Abuja Agricultural Lending (NIRSAL),"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Nigeria Social Insurance Trust Fund (NSITF),nsitf.gov.ng,Abuja,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Tax Appeal Tribunal (TAT),taxappealtribunal.gov.ng,Abuja and zonal offices,"Finance, Revenue & Economic Regulators",laws/mda/nigeria-mda-directory.txt
Nigerian Investment Promotion Commission,nipc.gov.ng,"Plot 1181 Aguiyi Ironsi St, Maitama, Abuja (NIPC)","Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Standards Organisation of Nigeria (SON),son.gov.ng,Abuja,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Federal Competition and Consumer Protection Commission (FCCPC),fccpc.gov.ng,"[V] 17 Nile Street, Maitama, Abuja. 0805 600 2020","Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Nigerian Export Promotion Council (NEPC),nepc.gov.ng,Abuja,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Nigeria Export Processing Zones Authority,nepza.gov.ng,Abuja (NEPZA),"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Oil and Gas Free Zones Authority (OGFZA),ogfza.gov.ng,Abuja / Onne,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Small and Medium Enterprises Development,smedan.gov.ng,Abuja Agency (SMEDAN),"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Nigerian Copyright Commission (NCC),copyright.gov.ng,Abuja,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
"Trademarks, Patents and Designs Registry",iponigeria.gov.ng,Abuja,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
National Automotive Design and Development,naddc.gov.ng,"4 Okene Street, Area 2, Garki, Abuja Council (NADDC)","Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
National Sugar Development Council (NSDC),nsdcnigeria.gov.ng,Abuja,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Raw Materials Research and Development,rmrdc.gov.ng,Abuja Council (RMRDC),"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
"Federal Institute of Industrial Research, Oshodi",fiiro.gov.ng,"Oshodi, Lagos (FIIRO)","Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Projects Development Institute (PRODA),proda.gov.ng,Enugu,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Industrial Training Fund (ITF),itf.gov.ng,"Jos, Plateau State","Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Nigerian Office for Technology Acquisition and,notap.gov.ng,Abuja Promotion (NOTAP),"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Nigerian Institute of Science Laboratory,nislt.gov.ng,Ibadan Technology (NISLT),"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Nigerian Commodity Exchange (NCX),—,Abuja,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Advertising Regulatory Council of Nigeria,arcon.gov.ng,"26 Ajose Adeogun, Lagos (ARCON)","Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Nigerian Tourism Development Authority (NTDA),ntdc.gov.ng,Abuja,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
National Institute for Hospitality and Tourism,nihotour.gov.ng,Abuja (NIHOTOUR),"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
Centre for Black and African Arts and Civilization,cbaac.gov.ng,Lagos (CBAAC),"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
National Council for Arts and Culture (NCAC),ncac.gov.ng,Abuja,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
National Gallery of Art,nga.gov.ng,Abuja,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
National Theatre of Nigeria,—,"Iganmu, Lagos","Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
National Commission for Museums and,ncmm.gov.ng,Abuja Monuments,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
National Troupe of Nigeria,—,Lagos,"Trade, Industry, Investment & Standards",laws/mda/nigeria-mda-directory.txt
National Agency for Food and Drug,nafdac.gov.ng,"[V] Plot 2032 Olusegun Obasanjo Way, Wuse Administration and Control (NAFDAC) Zone 7, Abuja. 09-6718008, 09-5240996, 0700-1-623322. nafdac@nafdac.gov.ng. FCT office fct@nafdac.gov.ng, 0209 290 5169. State email pattern .EID@nafdac.gov.ng","Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
Nigeria Centre for Disease Control (NCDC),ncdc.gov.ng,Abuja. Toll-free 6232,"Health, Food & Drug",laws/mda/nigeria-mda-directory.txt
